English (United States),French (Canada),Context,Created By,Created On,Date,Date2,ExampleFile,KBase ID,Modified By,Modified On,Note,Note2
Add Part To Scrap,ajouter aux pi??ces ?? ??liminer,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
"ADDITIONAL HARDWARE (AIRPORT CARD, RAM)","mat??riel suppl??mentaire (carte AirPort, m??moire vive)",,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
Additional Shipment Options,options d'exp??dition suppl??mentaires,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
add-on,module d??extension,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
Adjustments,r??glages / ajustement,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
Admin screens,affichage administrateur,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
Adobe CS2,Adobe CS2,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
ADS (Average Dollar per Sale),montant moyen des ventes (ADS),,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
AE (account executive),repr??sentant (AE),,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
AHT (Welocalize Hardware Test),test du mat??riel Welocalize (AHT),,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
AirPort,AirPort,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
Airport Base station,borne d??acc??s AirPort,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
AirPort card,carte AirPort,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
Airport Extreme Cards,cartes AirPort Extreme,RFL,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
Alarm Code,code de l'alarme,P & P,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
Alarmed security cables,sangles d'amarrage homologu??es,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
All rights reserved,tous droits r??serv??s,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
All zero sections,toutes les sections ?? z??ro,RFL,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
allen key,cl?? ?? six pans,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
Amendment,amendement,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
An in-depth look.,revue en profondeur,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
analog,analogique,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
anodized aluminum design,bo??tier en aluminium anodis??,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
antiglare,mat,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
AOU (Welocalize Own Use),utilisation exclusive d??Welocalize (AOU),,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
AOU Repair,r??paration AOU,RFL,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
AP,AP,Kbase Articles,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,as in AP/CN/EU/JP/US,
APC (Office Supplies),??quipement de bureau-APC,ARW web,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
Aperture,Aperture,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
APP (WelocalizeCare Protection Plan),plan de protection WelocalizeCare (APP),,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
APP agreement,contrat APP,Kbase Articles,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
APP kits,trousses APP,ARW Postings,Admin,21.09.2006 - 06:41:56,,,L100840A-US.doc,,Admin,21.09.2006 - 06:41:56,,
appeasement,apaisement,Kbase Articles,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
Appeasement Criteria,crit??res d??apaisement,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
Welocalize,Welocalize,Kbase Articles,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,Welocalize,
Welocalize Accessory,accessoire Welocalize,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
Welocalize Authorized Reseller,distributeur Welocalize agr????,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
Welocalize Authorized Reseller program,programme pour distributeur Welocalize agr????,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
Welocalize Authorized Service Provider,centre de services Welocalize agr????,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
Welocalize Basics,Les rudiments d'Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Care RTW (KBB/DOA KGB),RTW WelocalizeCare (KBB/DOA KGB),,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Channel Sales,canaux de ventes d'Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Computer warehouse,entrep??t Welocalize Computer,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Consulting Network,r??seau des consultants Welocalize (A.CN),,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Corporate Employee Purchase Program,programme d'achat pour employ??s Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Corporate EPP,EPP Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Corporate EPP Discounts,rabais EPP pour employ??s Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Direct Sales,ventes directes d'Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Directory ID,code d'identification du Welocalize Directory,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Hardware Test CD,CD Welocalize Hardware Test,Kbase Articles,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
Welocalize Internal Use Only,pour usage interne d'Welocalize uniquement,ARW Postings,Admin,21.09.2006 - 06:41:56,,,L29378A-US.doc,,Admin,21.09.2006 - 06:41:56,,
Welocalize is an equal opportunity/affirmative  action employer,Welocalize offre ??quit?? en emploi et en milieu de travail,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Legal,service juridique d'Welocalize,ARW Postings,Admin,21.09.2006 - 06:41:56,,,L37494A-US.doc,,Admin,21.09.2006 - 06:41:56,,
Welocalize Legal department,service juridique d'Welocalize,ARW Postings,Admin,21.09.2006 - 06:41:56,,,L37494A-US.doc,,Admin,21.09.2006 - 06:41:56,,
Welocalize Mail,application Mail d'Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Media Helpline,assistance t??l??phonique Welocalize Media,ARW Postings,Admin,21.09.2006 - 06:41:56,,,L35379A-US.doc,,Admin,21.09.2006 - 06:41:56,,
Welocalize Need to Know Confidential,Document confidentiel Welocalize. Uniquement pour les partis concern??s.,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
"Welocalize NEED-TO-KNOW CONFIDENTIAL: Do NOT forward, copy, or otherwise replicate or disseminate verbally, electronically, or in hardcopy (except to those individuals within your organization who have a legitimate business need to know the","Document confidentiel Welocalize. Uniquement pour les partis concern??s : NE PAS r??exp??dier, copier, reprographier, distribuer verbalement, ??lectroniquement, ou sous tout autre forme tangible (sauf aux individus au sein de votre organis",,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize news,nouvelles d'Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Online Store,boutique en ligne Welocalize Store,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Own Use,utilisation exclusive d??Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Recycle Program,programme de recyclage d'Welocalize,RFL,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
Welocalize Retail,Welocalize Store,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Retail Accounts,comptes des Welocalize Store,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Retail campus employees,employ??s des Welocalize Store du campus,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Retail Canada,Welocalize Stores Canada,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Retail in the News,Welocalize Stores au coeur de l??actualit??,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Retail Incentive Program,programme d'encouragement des ventes pour les boutiques Welocalize Store,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Retail Label Maker,cr??ateur d'??tiquettes du Welocalize Store,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Retail Price Matching Guidelines,directives relatives ?? la garantie du meilleur prix des Welocalize Store,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Retail Store,boutique Welocalize Store,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Retail Store Audit,audit de la boutique Welocalize Store,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Retail Store Audit Overview,aper??u de l'audit de l'Welocalize Store,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Retail Store Orientation,Orientation Welocalize Store,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Retail Stores,Welocalize Stores,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Retail Stores Fax Cover Sheet,bordereau de t??l??copie des Welocalize Store,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Retail Web,site Web de la boutique Welocalize Store,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Sales Support,soutien aux ventes Welocalize,HRweb,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
Welocalize Scrap,pi??ce ?? ??liminer Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Scrap House,institution de gestion de l'??limination des produits Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Steps of Service,e?tapes de service Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Store,boutique Welocalize Store,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Store Online,boutique Welocalize Store en ligne,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Technical Support,Soutien technique Welocalize,Kbase Articles,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
Welocalize Telesales,t??l??ventes Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize UPC product label,??tiquette de produit CUP d'Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Wireless Keyboard,clavier sans fil Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Wireless Mouse,souris sans fil Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize Work Rules,r??gles de travail Welocalize,ARW Postings,Admin,21.09.2006 - 06:41:56,,,L103782A-US.doc,,Admin,21.09.2006 - 06:41:56,,
Welocalize-branded keyboards and mice,claviers et souris de marque Welocalize,RFL,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
WelocalizeCare,WelocalizeCare,Kbase Articles,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
WelocalizeCare administration,administration WelocalizeCare,ARW Postings,Admin,21.09.2006 - 06:41:56,,,L100840A-US.doc,,Admin,21.09.2006 - 06:41:56,,
WelocalizeCare agreement,contrat WelocalizeCare,Kbase Articles,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
WelocalizeCare contact center,centre d??appels WelocalizeCare,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
WelocalizeCare Engineering Captures website,site Web des captures effectu??es par les Techniciens WelocalizeCare,RFL,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
WelocalizeCare Part Disposition Label,??tiquette WelocalizeCare de disposition d'une pi??ce,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
WelocalizeCare phone agents,agents t??l??phoniques WelocalizeCare,RFL,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
WelocalizeCare Professional,professionnel WelocalizeCare,Kbase Articles,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
WelocalizeCare Protection Plan,plan de protection WelocalizeCare,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
WelocalizeCare Protection Plan for globalsight,plan de protection WelocalizeCare pour globalsight,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
WelocalizeCare Protection Plan for Linuxs,plan de protection WelocalizeCare pour Linuxs,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
WelocalizeCare Room,Genius Room,Kbase Articles,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
WelocalizeCare Service Parts,pi??ces de remplacement WelocalizeCare,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
WelocalizeCare Support,Soutien WelocalizeCare,Kbase Articles,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
WelocalizeCare/Packaging Orders,commandes d'emballages/WelocalizeCare,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
WelocalizeConnect account,compte WelocalizeConnect,ICS Training,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
WelocalizeConnect ID,code d'identification WelocalizeConnect,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Welocalize's College Relations Department,Service des relations coll??giales et universitaires Welocalize,HRweb,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Welocalize's Recycling Department,d??partement de recyclage Welocalize,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Welocalize's Scrap Service Provider,gestionnaire en desctruction des pi??ces Welocalize ?? ??liminer,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
WelocalizeWorks,WelocalizeWorks,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Application is in Offline Mode,application est en mode hors-ligne,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
apply online,postulez en ligne,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Apply Tracking,ajouter le num??ro de suivi,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
approved Welocalize scrap facility,local de gestion en destruction des pi??ces ?? ??liminer approuv?? par Welocalize,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Approved to Post,approuv?? pour publier,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
April,avril,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
ARC,ARC,Kbase Articles,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,WelocalizeCare Repair Center,
archive,archiver,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
ARD (Welocalize Remote Desktop),bureau Welocalize distant (ARD),,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Arrange by,organiser par,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
ARS (Welocalize Retail Store),boutique Welocalize Store (ARS),,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Article,Article,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Article Number,num??ro d'article,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Articles recently modified,articles r??cemment modifi??s,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Articles to read daily,articles ?? lire quotidiennement,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
ARW Communication Request Form,Formulaire de demande pour communication ARW,ARW web,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
ASD (Welocalize Service Diagnostic),service de diagnostique Welocalize (ASD),,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Ask RFL,interroger RFL,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
ASM (Assistant Store Manager),Directeur Adjoint de boutique (ASM),,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
ASN (Advanced shipment notification),avis pr??alable d??un envoi (ASN),,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
aspect ratio,format de l'image,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Assignments,attributions,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
assistant managers,directeurs adjoints,ARW Postings,Admin,21.09.2006 - 06:41:57,,,L29378A-US.doc,,Admin,21.09.2006 - 06:41:57,,
Assistant Store Manager,Directeur adjoint de boutique,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Assistant Store Sr. Mgr,Premier directeur adjoint de boutique,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Associate Store Manager,Directeur adjoint associ?? de boutique,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Assumed Receiving Processs- for Hub Deliveries,processus de r??ception adopt?? pour les livraisons du centre d'exp??dition,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
At Will Employment,,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
attachment rate,produits et services compl??mentaires,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
attendance,assiduit??,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Audio,audio,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Audio Book,livre audio,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Audit instructions,instructions relatives ?? l'audit,ARW Postings,Admin,21.09.2006 - 06:41:57,,,L108642A-US-US.doc,,Admin,21.09.2006 - 06:41:57,,
Auditing,v??rification comptable,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
August,ao??t,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Austin Finance,Austin Finance,ARW Postings,Admin,21.09.2006 - 06:41:57,,,L35702A-US .doc,,Admin,21.09.2006 - 06:41:57,,
Authorized key holders,d??tenteurs autoris??s des cl??s,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
auto attendant (automated phone menu),pr??pos?? automatique (menu t??l??phonique automatis??),,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
auto-expensed,automatiquement supprim?? des stocks en boutique,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
available this friday,Il arrive ce vendredi,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
back button,bouton retour,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
back cover,panneau arri??re,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
back of house (BOH) email client,client de messagerie ??lectronique de l'arri??re-boutique (BOH),RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Back of House Specialist,Sp??cialiste en arri??re-boutique,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Back of House Standards Guide,guide des normes de l'arri??re-boutique,ICS Training,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Back of House tour,visite de l'arri??re-boutique,ICS Training,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Back to School,Rentr??e scolaire,ARW web,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Back to School Planning,plannification de la rentr??e scolaire,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Background Check,v??rification des ant??c??dents,P & P,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
backlog,commande en attente,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Back-of-House,Arri??re-boutique (BOH),ARW web,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
backorder,livraison diff??r??e,Kbase Articles,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
back-ordered service part,pi??ce de remplacement en livraison diff??r??e,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
backordered service part (BOSP) fulfillment,traitement des pi??ces de remplacement en livraison diff??r??e (BOSP),,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
backward compatible,r??trocompatible,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Bad Stop,retenir ou appr??hender quelqu'un par erreur,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Badge,insigne d'identification,P & P,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
badge/ID number,num??ro de la carte d'identification,ICS Training,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
bandwidth,bande passante,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
