Index	File_Profile_name	TM_Profile_Name	Description	Source_TM_To_Import_To_StorageTM	Source_TM_To_Import_To_ReferenceTM	SRX_Rule_Set	SRX_Rule_Set_File_Path	Storage_TM	Save_Unlocalized_Segments_to_TM	Save_Localized_Segments_to_TM	Save_Wholly_Internal_Text_Segments_to_TM 	Save_Exact_Match_Segments_to_TM	Save_Approved_Segments_to_TM	Save_Unlocalized_Segments_to_Page_TM	Leverage_Localizables	Leverage_Exact_Matches_Only	Apply_SID_ICE_Promotion_Only	Apply_SID_Hash_ICE_Promotion	Apply_SID_Hash_Bracketed_ICE_Promotion	Leverage_Approved_translations_from_selected_Reference_TM	Leverage_In_progress_translations_from_the_Job	and_from_Jobs_that_write_to_the_Storage_TM	and_from_Jobs_that_write_to_selected_Reference_TM	Stop_search_after_hitting_100_match	Reference_TM	Type_sensitive_Leveraging	Case_sensitive_Leveraging	Whitespace_sensitive_Leveraging	Code_sensitive_Leveraging	Reference_TM_2	Reference_TM_2_TM	Multilingual_Leveraging	Auto_Repair_Placeholders	Get_Unique_from_Multiple_Exact_Matches	Multiple_Exact_Matches	Leverage_Match_Threshold	Number_of_Matches	Display_TM_Matches_by	Choose_Latest_Match	Type_sensitive_Leveraging_2	No_Multiple_Exact_Matches	TU_Attributes_Match_Prioritising_Rules	Source_Locale	Target_Locale_Short	Target_Locale_Long	Target_Locale_Workflows	Target_Locale_code	TMP_SourceFile
Case_17	TMP_Apply_SID_Hash_Bracketed_ICE_Promotion_Checked	TMP_SID_Hash_Brack_ICE_T	TMP_Apply_SID_Hash_Bracketed_ICE_Promotion_Checked	x	TestMatrix\Setup\TM_Profile\Apply_SID_Hash_Bracketed_ICE_Promotion_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Apply_SID_Hash_Bracketed_ICE_Promotion_Checked_Storage	o	o	o	o	o	o	o	o	o	o	yes	o	o	o	o	o	TMP_Apply_SID_Hash_Bracketed_ICE_Promotion_Checked_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Apply_SID_Hash_Bracketed_ICE_Promotion_Checked\Welocalize_Company.html
Case_18	TMP_Leverage_Approved_translations_from_selected_Ref_TM_T	TMP_Lev_Approved_Ref_T	TMP_Leverage_Approved_translations_from_selected_Ref_TM_Checked	x	TestMatrix\Setup\TM_Profile\Leverage_Approved_translations_from_selected_Ref_TM_T\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Leverage_Approved_transs_from_selected_Ref_TM_T_Storage	o	o	o	o	o	o	o	o	o	o	o	yes	o	o	o	o	TMP_Leverage_Approved_transs_from_selected_Ref_TM_T_Ref	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Leverage_Approved_translations_from_selected_Ref_TM_T\Welocalize_Company.html
Case_19	TMP_Leverage_Approved_translations_from_selected_Ref_TM_F	TMP_Lev_Approved_Ref_F	TMP_Leverage_Approved_translations_from_selected_Ref_TM_Unchecked	x	TestMatrix\Setup\TM_Profile\Leverage_Approved_translations_from_selected_Ref_TM_F\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Leverage_Approved_trans_from_selected_Ref_TM_F_Storage	o	o	o	o	o	o	o	o	o	o	o	no	o	o	o	o	TMP_Leverage_Approved_trans_from_selected_Ref_TM_F_Ref	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Leverage_Approved_translations_from_selected_Ref_TM_F\Welocalize_Company.html
Case_20	TMP_Leverage_In_progress_translations_from_the_Job_Checked	TMP_Lev_progress_Job_T	TMP_Leverage_In_progress_translations_from_the_Job_Checked	x	TestMatrix\Setup\TM_Profile\Leverage_In_progress_translations_from_the_Job_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Leverage_In_progress_trans_from_the_Job_T_Storage	o	o	o	o	o	o	o	o	o	o	o	o	yes	o	o	o	TMP_Leverage_In_progress_trans_from_the_Job_T_Ref	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Leverage_In_progress_translations_from_the_Job_Checked\Welocalize_Company.html
Case_21	TMP_Leverage_In_progress_translations_from_the_Job_Unchecked	TMP_Lev_progress_Job_F	TMP_Leverage_In_progress_translations_from_the_Job_Unchecked	x	TestMatrix\Setup\TM_Profile\Leverage_In_progress_translations_from_the_Job_Unchecked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Leverage_In_progress_trans_from_the_Job_F_Storage	o	o	o	o	o	o	o	o	o	o	o	o	no	o	o	o	TMP_Leverage_In_progress_trans_from_the_Job_F_Ref	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Leverage_In_progress_translations_from_the_Job_Unchecked\Welocalize_Company.html
Case_22	TMP_and_from_Jobs_that_write_to_the_Storage_TM_Checked	TMP_and_from_Jobs_Stor_T	TMP_and_from_Jobs_that_write_to_the_Storage_TM_Checked	x	TestMatrix\Setup\TM_Profile\and_from_Jobs_that_write_to_the_Storage_TM_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_and_from_Jobs_that_write_to_the_Storage_TM_T_Storage	o	o	o	o	o	o	o	o	o	o	o	o	o	yes	o	o	TMP_and_from_Jobs_that_write_to_the_Storage_TM_T_Ref	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\and_from_Jobs_that_write_to_the_Storage_TM_Checked\Welocalize_Company.html
Case_23	TMP_and_from_Jobs_that_write_to_the_Storage_TM_Unchecked	TMP_and_from_Jobs_Stor_F	TMP_and_from_Jobs_that_write_to_the_Storage_TM_Unchecked	x	TestMatrix\Setup\TM_Profile\and_from_Jobs_that_write_to_the_Storage_TM_Unchecked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_and_from_Jobs_that_write_to_the_Storage_TM_F_Storage	o	o	o	o	o	o	o	o	o	o	o	o	o	no	o	o	TMP_and_from_Jobs_that_write_to_the_Storage_TM_F_Ref	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\and_from_Jobs_that_write_to_the_Storage_TM_Unchecked\Welocalize_Company.html
Case_24	TMP_and_from_Jobs_that_write_to_selected_Reference_TM_T	TMP_and_from_Jobs_Ref_T	TMP_and_from_Jobs_that_write_to_selected_Reference_TM_Checked	x	TestMatrix\Setup\TM_Profile\and_from_Jobs_that_write_to_selected_Reference_TM_T\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_and_from_Jobs_that_write_to_selected_Ref_TM_T_Storage	o	o	o	o	o	o	o	o	o	o	o	o	o	o	yes	o	TMP_and_from_Jobs_that_write_to_selected_Ref_TM_T_Ref	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\and_from_Jobs_that_write_to_selected_Reference_TM_T\Welocalize_Company.html
Case_25	TMP_and_from_Jobs_that_write_to_selected_Reference_TM_F	TMP_and_from_Jobs_Ref_F	TMP_and_from_Jobs_that_write_to_selected_Reference_TM_Unchecked	x	TestMatrix\Setup\TM_Profile\and_from_Jobs_that_write_to_selected_Reference_TM_F\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_and_from_Jobs_that_write_to_selected_Ref_TM_F_Storage	o	o	o	o	o	o	o	o	o	o	o	o	o	o	no	o	TMP_and_from_Jobs_that_write_to_selected_Ref_TM_F_Ref	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\and_from_Jobs_that_write_to_selected_Reference_TM_F\Welocalize_Company.html
Case_26	TMP_Stop_search_after_hitting_100_match_Checked	TMP_Stop_after_hit_100_T	TMP_Stop_search_after_hitting_100_match_Checked	x	TestMatrix\Setup\TM_Profile\Stop_search_after_hitting_100_match_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Stop_search_after_hitting_100_match_Checked_Storage	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	yes	TMP_Stop_search_after_hitting_100_match_Checked_Ref	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Stop_search_after_hitting_100_match_Checked\Welocalize_Company.html
Case_27	TMP_Stop_search_after_hitting_100_match_Unchecked	TMP_Stop_after_hit_100_F	TMP_Stop_search_after_hitting_100_match_Unchecked	x	TestMatrix\Setup\TM_Profile\Stop_search_after_hitting_100_match_Unchecked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Stop_search_after_hitting_100_match_Unchecked_Storage	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	no	TMP_Stop_search_after_hitting_100_match_Unchecked_Ref	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Stop_search_after_hitting_100_match_Unchecked\Welocalize_Company.html
Case_28	TMP_Reference_TM_Checked	TMP_Reference_TM_T	TMP_Reference_TM_Checked	x	TestMatrix\Setup\TM_Profile\Reference_TM_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Reference_TM_Checked_Storage	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	TMP_Reference_TM_Checked_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Reference_TM_Checked\Welocalize_Company.html
Case_29	TMP_Reference_TM_Unchecked	TMP_Reference_TM_F	TMP_Reference_TM_Unchecked	x	TestMatrix\Setup\TM_Profile\Reference_TM_Unchecked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Reference_TM_Unchecked_Storage	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	TMP_Reference_TM_Unchecked_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Reference_TM_Unchecked\Welocalize_Company.html
Case_30	TMP_Type_sensitive_Leveraging_Checked	TMP_Type_sensitive_T	TMP_Type_sensitive_Leveraging_Checked	x	TestMatrix\Setup\TM_Profile\Type_sensitive_Leveraging_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Type_sensitive_Leveraging_Checked_Storage	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	TMP_Type_sensitive_Leveraging_Checked_Reference	6	no	no	no	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Type_sensitive_Leveraging_Checked\Welocalize_Company_IncludingRepeat.js
Case_31	TMP_Type_sensitive_Leveraging_Unchecked	TMP_Type_sensitive_F	TMP_Type_sensitive_Leveraging_Unchecked	x	TestMatrix\Setup\TM_Profile\Type_sensitive_Leveraging_Unchecked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Type_sensitive_Leveraging_Unchecked_Storage	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	TMP_Type_sensitive_Leveraging_Unchecked_Reference	no	no	no	no	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Type_sensitive_Leveraging_Unchecked\Welocalize_Company.html
Case_32	TMP_Case_sensitive_Leveraging_Checked	TMP_Case_sensitive_T	TMP_Case_sensitive_Leveraging_Checked	x	TestMatrix\Setup\TM_Profile\Case_sensitive_Leveraging_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Case_sensitive_Leveraging_Checked_Storage	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	TMP_Case_sensitive_Leveraging_Checked_Reference	no	10	no	no	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Case_sensitive_Leveraging_Checked\Welocalize_Company_IncludingRepeat_Case-sensitive.html
Case_33	TMP_Whitespace_sensitive_Leveraging_Checked	TMP_Whitespace_T	TMP_Whitespace_sensitive_Leveraging_Checked	x	TestMatrix\Setup\TM_Profile\Whitespace_sensitive_Leveraging_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Whitespace_sensitive_Leveraging_Checked_Storage	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	TMP_Whitespace_sensitive_Leveraging_Checked_Reference	no	no	10	no	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Whitespace_sensitive_Leveraging_Checked\Welocalize_Company_IncludingRepeat_Whitespace-sensitive.html
Case_34	TMP_Code_sensitive_Leveraging_Checked	TMP_Code_sensitive_T	TMP_Code_sensitive_Leveraging_Checked	x	TestMatrix\Setup\TM_Profile\Code_sensitive_Leveraging_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Code_sensitive_Leveraging_Checked_Storage	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	TMP_Code_sensitive_Leveraging_Checked_Reference	no	no	no	10	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Code_sensitive_Leveraging_Checked\Welocalize_Company_IncludingRepeat_Code-sensitive.html
